Level	Class	barcode10.krakenreport.txt	barcode11.krakenreport.txt	barcode1.krakenreport.txt	barcode2.krakenreport.txt	barcode3.krakenreport.txt	barcode4.krakenreport.txt	barcode5.krakenreport.txt	barcode6.krakenreport.txt	barcode7.krakenreport.txt	barcode9.krakenreport.txt
unclassified	U	1654029	1419616	3272876	1385158	2761363	1131784	1896553	1935210	2210077	1148767
0	R	790871	886717	3391970	854646	4400352	820492	1680549	1442160	1282608	2398457
2	R1	536032	573144	2352527	556765	3039433	627792	1310193	1139743	937511	1750609
4	D	513119	552751	2300093	535929	2937827	613897	1272976	1046637	893145	1672446
6	D1	452265	514585	2007924	494376	2635119	575591	1144423	974198	811710	1475509
8	P	447224	507135	1974755	483408	2600717	568909	1129395	969404	802790	1470864
10	C	437320	498027	1916312	472225	2585415	556668	1111204	955887	784022	1459000
12	O	415246	476406	1813104	440491	2528990	507540	1071786	924091	739123	1430507
14	F	409516	465555	1706999	424826	2512272	496931	1054614	909569	694523	1422451
16	G	231339	303846	1245158	350514	2041107	355613	868155	809022	556363	1256462
18	S	193914	247747	1016583	295445	1811695	272493	630069	714294	427192	1182237
20	S1	66919	80906	301416	133116	908407	58420	166640	306393	207218	313694
22	S2	28132	32803	17232	27878	12274	813	3423	18467	10467	5751
24	P4	117	32132	294	24231	7037	178	1262	1228	760	132
26	P5	117	32132	294	24231	7036	178	1261	1226	760	132
28	P6	116	32055	294	24178	7020	175	1254	1214	758	131
30	P7	116	32047	294	24159	7012	171	1242	1213	757	120
32	P8	116	32046	294	24153	7009	171	1240	1213	757	120
34	P9	116	32036	294	24144	7002	170	1239	1213	756	120
36	C	116	31905	291	24073	6975	169	1235	1206	751	117
38	C1	116	31899	290	24064	6971	166	1233	1206	750	114
40	C2	116	31876	289	24054	6965	166	1227	1205	750	114
42	C3	115	31727	286	23957	6926	154	1194	1195	746	109
44	C4	110	30501	277	23268	6679	147	1151	1169	728	108
46	O	110	30135	274	23022	6595	146	1138	1158	718	106
48	O1	110	30089	274	22995	6594	144	1137	1157	718	105
50	O2	110	30081	274	22994	6592	143	1137	1157	718	105
52	O3	110	29475	266	22570	6482	139	1117	1140	701	102
54	O4	104	26760	249	20720	5874	123	1028	1044	646	95
56	F	103	26181	248	20289	5748	121	1001	1022	635	94
58	F1	100	24685	230	19083	5421	113	948	969	597	87
60	G	93	20890	206	16109	4615	99	823	832	501	75
62	S	93	20890	206	16109	4615	99	823	832	501	75
64	S1	54	8	46	4	62	24	101	66	82	3
66	S			1							
